	micha-ii-48	lanzarote-ii-48	fr111-ii-48	fr751-ii-48	inc-ii-48	sommer--ii-48	lancellotto-ii-48
137|138|139|140|141|142|143|144|145|146|147	kar je ne cuit |qu’il eust plus de chevaliers çaiens |que cestui; |si vos dirai ore seurement |ce que vos me demandastes n’a encor gaires. — |Dites, |fet il. — |Sire, |fet ele, |entre moi et I. chevalier |qui mes amis estoit chevalchions hui matin par mi cest chastel 	deque vos mas guardar |ca eneste castillo no auia |mas deste cauallero segund cuydo |e agora os direlo |que me preguntastes seguramente |Pues deçidmelo dixo boores |asi es dixo la donçella |que oy mañana entre mi |e vn cauallero |que hera mi amigo pasamos poreste castillo 	car ie cuidoie |quil y eust leans plus de cheualiers |quil ny a |Si uous diray seurement |ce que uous me demandastes. |dictes fait il. |par foy fait elle moy et ung cheualier |qui mon amy estoit cheuauchons a matin parmy |ce chastelet ilecquez 	Car ie ne cuit |quil ait mais cheualier laiens plus que cestui. |Si uus dirai ore seurement |ce que uos me demandates na gaires. |Dites |dont damoisele fait il. |SIre fait ele par foi entre moi et .i. cheualier |qui mes amis estoit. |cheuauchiens hui matin parmi cest chastelet illuec. 	car ie ne cuide point |qu il y ait plus de cheualiers leans |que cestui si uous diray seurement |ce que uous mauez demande. |Par ma foy fait elle moy et ung cheualier |qui mon amy estoit cheuauchions parmi cest chasteau. 	Car iou quit quil ni a plus de cheualiers laiens que cestui. |Si vous dirai |ce que vous me denmandastes. |ore le me dites |dont fait bohors. |Par foy sire fait elle entre moi et. i. cheualier |qui mes amis estoit cheualchiemes parmi chest chastel. 	ch’io non credo mica |ch’egli abbia là entro più cavalieri che questi, |si vi dirò ora sicuramente ciò che voi mi domandaste. — |Dite, diss’elli. — |laPer fé, diss’ella, |intra me e uno cavaliere |che mio amico era cavalcamo oggi mattinetto per me questo ricetto, 
148	et quant li freres a celui 	e quando el señor del castillo 	Et quant le frere a celuy 	et quant li freres a celui 	Et quant le frere de celui 	Et quant li freres a celui 	e quando il fratello di colui 
149|150|151	que vos avés abatu me vit, |si me volt a force prendre, |kar il m’avoit molt longuement amee; 	hermano de aquel que vos derribastes |me vido quisome prender afuerça e trabo del freno demi palafren 	quie uous auez ores abatu me uit. |si me uoult prendre a force |car il mauoit longuement amee 	que uos aues ore abatu: |me uit. |Si me uot a force prandre. |Car il mauoit mout longuement amee. 	que uous auez abatu me uist si me uoulut auoir et prendre a force: |car il me auoit longuement aymee. 	qui vous aues abatu me uit. |si me volt auoir et prendre par force |quar il mauoit lonc tamps amee. 	che voi avete ora abatuto mi vide, |si mi volle a forza prendere, |ché m’avea lungamente amato; 
152|153	si me prist al frain |et m’en volt mener a force, 	e quisome llebar 	si me prist au fraing |et me uoult mener a force 	Si me prist |et me uost mener a force |si tost comme il me tint au fraing. 	Il print mon cheual |et men uoulut mener a force: 	Si me prist au frain |et men volt mener a force. 	simmi prese al freno |e mi volle menare a forza, 
154|155	mes mes amis se combati a lui |tant qu’il l’ocist. 	e me vido mi amigo llebar |conbatiose conel tanto quelo mato 	mais mon amy se combaty a luy si loccist. 	Mais mes amis se combati a lui |tant que il locit. 	mais mon amy se combatist a lui |tant qu il loccist. 	Mais mes anis se combati a lui |tant quil locist. 	ma mio amico si combatté tanto a-llui |che-ll’ucise. 
156|157	Et quant cist |que vos veez ci ore vit son frere mort, 	e quando aquel que alli esta vido asu ermano muerto 	Et quant celuy |que uous auez ores cy abatu uit son frere mort 	et quant ciz que uos ueez ore ci uit son frere mort : 	Et quant celui que uous uoiez cy uist son frere mort 	Et quant chils cheualiers |que vous uees |chi vit son frere mort. 	ME quando questo che voi avete qui ora abatuto |vide suo fratello morto, 
158	si fist mon ami prendre a force de vilains et de gens 	fiço prender ami amigo |a fuerça de gente e de villanos 	si fist prendre mon amy a force de uilanis et de gens. 	si fist mon ami prandre a force de uilains et de gent. 	il fist mon amy prendre par force de gens et de uillains/ 	si fist mon ami prendre par force de vilains. 	si fece mio amico prendere a forza di villani e di genti, 
159	et l’ocist en venjance de son frere. 	e matolo en enmienda dela muerte desu hermano 	si loccist on uengence de son |frere.Mais il dist 	Et locit en la uangence de son frere. 	et loccist en uengance de son frere 	et locist por uengance de son frere 	e l’uccise in vendicanza di suo fratello. 
160|161|162	Mais de moi, |por cui Ses freres avoit esté ocis, |dist il 	e dixo |que demi se vengaria el seguramente |porque fui ocasion dela muerte de su hermano 	quil se uangeroit de moy |pour qui son frere auoit este occis sans main mectre 	mais de moi p̾ |cui ses freres auoit este ocis |dist il 	et dist 	quil auoit ochis. |Et dist 	Ma di me, |per cui suo fratello avea stato morto, |diss’elli 
163	qu’il se vengeroit sans main metre; si me fist prendre a ces ribaus 	entonçe fiço tomar aquellos quatro villanos 	si me fist prendre a ces quatre ribaux 	quil sen uangeroit sans main mestre. |Si me fist prandre a ses .iiii. uilains 	quil se uengeroit de moy sans main mettre. |Si me fist prendre par ces quatre ribaulx 	quil se vengeroit de moi sans main metre. |et me fist tantost prendre a ches. iiij. ribaus 	che-ssi vendicherebbe sanza in me mettere mano, |si mi fece prendere a nfino a tre l rubaldi 
164|165|166	que vos veistes |et lor commanda |qu’il me noiaissent, « 	que vos vistes |e mandoles que me matasen en aquel agua 	qui uous ueistes |et leur commanda |quilz me noyassent. 	que uos ueistes si lor coumanda |quil me noiassent. 	que uous auez ueu |et leur commanda |quilz me noyassent/ 	que vous ueistes ore. |et lor commanda |quil me noiassent. 	che vo' vedeste |e loro comandò |che m’anegassono, 
167|168|169	kar par armes, |dist il, |ne vueil je mie 	ca por armas no me queria matar 	Car par armes |fist il ne uueil ie pas quelle meure. 	Car par hommes ne uoeil ge gaie 	car par armes ne uueil ie pas 	Car par armes dist |il ne voeil iou mie 	ché per mano di persona, |diss’elli, |non voglio 
170|171	qu’ele muire » ; |si m'enmenoient, 	e ellos me mataran sin falta 	si me menoient pour mourir 	fait il quele morit. |Si [cum] amenerent ainsi 	que elle meure.|Si me emmenoient ainsi 	que elle muire. |Si me menoient 	ch’ella muoia». |i-mmi menavano, 
172	si com vos veistes, morir 	si vos porla voluntad de dios 	ainsi comme uous ueistes 	com uos ueistes [raqrir] 	comment uous auez ueu pour noyer 	ensi com vous ueistes por noier 	insi come vo vedeste, |per fare morire, 
173	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	e porla vuestra no me acorrierades 	quant uous me uenistes secourir. par la uoulente de dieu et par la uostre 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. 	quant uaus me uenistes secourir par la uoulente de dieu et par la uostre. 	quant vous me uenistes rescorre par la volente de dieu et la vostre. 	quando vo mi veniste a soccorrere |per la volontà di Dio e della vostra. 
				Sire fait la damoisele a beħ. 			
174	Or vos ai conté mon errement ; 	agora vos e contado todo mi acaesçimiento 	Or uous ay tout comte mon criement. 	Or uous ai conte mon errement. 	Or uous ay toute compte 	vous ai conte mon errement 	Or vo ho contato tutta mia ventura, 
175|176|177	si voldroie des Ore mes, |se vostre plaisirs estoit, |que vos me menissois a salveté en un mien chastel 	como me contesçio |e querria |que me llebasedes a vn mi castillo 	si uoudroye desormais si uostre plaisir estoit |que uous me menez a sauuete en ung mien chastel 	Si uorroie desormais se uostres [puisses] estoit : |que uos me menissiez a sauuete en .i. mien chastel 	ma fortune/ si uouldroie se uostre uoulente |y estoit |que uous me menissez a sauuete en ung mien chasteau 	si volroie |se vostre volentes |y estoit que vous me metissies a sauuete. |En vn mien castel 	si vo vorre' da oggimai, |se vostro piacere fosse, pregare |che vo' mi conduceste a salvamento in uno mio castello 
178|179|180|181	qui est ci pres. — |Volentiers », |fet il. |Si le prent par les bras 	que es çerca de aqui |si vos plaze de GraDo dixo boores |e luego echo su escudo alas espaldas |e tomola Porel braço 	qui est cy pres. uoulentiers |fait il |si la prent par les braz 	qui est ci pres. uolentiers damoisele |Sire a si la prent par le bras 	qui est cy pres. |Voulentiers dit il. |et il la prent par le bras 	qui est pres de chi. volentiers fait il |et il le prent maintenant par les bras 	ch’è qui presso. — |Volentier. |disse elli». |Si-lla prende per lo braccio 
182|183|184|185|186	et le monte par devant lui sor le col de son cheval, |si a geté son escu derieres son dos, |si s’en vet cele part |ou la damoisele li enseigne |tant que ce vint aprés midi 	e pusola antesi Ensu caballo |e fuese ansi conella |por do ella lo yria guiando fasta medio dia 	et la monte deuant soy sur le col de son cheual. |si a gecte son escu derriere son dos. |et sen uait celle part |ou la damoisele luy enseigne. |tant que ce uient apres medoy 	et la mest deuant lui sur le col de son cheual. |Si ageste erranmet son escu derier son dos. |Si sen ua cele part ou la damoisele li ensangne. |Si cheuaucherent ainsi |tant que ce uint apres midi. 	et puis la met sur le col de son cheual/ si a iecte son escu derrier son dos: |et puis tourne celle part |la ou la damoiselle lui enseigne |tant que uint aprez 	et le met sor le col de son cheual. |et met son escu derriere son dos. |si sen torne cele part ou la damoisele lenseigne |Tant que chou vint apres miedi 	e la monta davanti a sé |sopra il corpo di suo cavallo, |si getta suo scudo di dietro suo dosso, |si se ne va in quelle parti |ove la damigella gli 'nsegna, |tanto che ciò venne apresso di mezodi 
				et lors uirent deuant aux en lor chemin 			
187	qu’il voient en un tertre I. bel a chastel, 	Que vieron vn muy fermoso castillo 	quilz uoyent deuant eulx en ung tertre ung meoult bel chastel 	.i.|tertre.Ou il auoit .i. tres bel chastel. 	midy que ilz uirent deuant eulx ung moult beau chasteau: 	que il virent deuant euls vn moult bel castel. 	che vegono davanti loro, in uno poggio, uno castello molto bello. 
188|189	et lors ataignent Il. escuiers |qui issoient d’un bossel 	e alcançaron dos escuderos |ala salida devn monteçillo 	et lors actaignent deux escuiers |qui yssoient dung boys 	et lors ataignent .ii. escuiers |qui issoient dun boschet. 	et lors attaignent deux escuiers a lentree de ung petit boix 	Et lors ataingnent. ij. escuiers a lentree dun boskel 	Allora agiungono due scudieri |che uscivano d’uno boschello 
190	et aportoit chescuns venoisons trosee detriers soi. 	que traia cada vno vn corço atroxado trassi 	et chascun aportoit uenoison troussee derriere soy. 	et aportoit chascuns uenison trossee douant soi. 	et portoit chacun uenoisen derrier lui troussee. 	et portoit cascuns venison torsee derriere lui. 	e aportavano amenduni cacciagione torsata di dietro a llui. 
191|192	Quant il virent la damoisele, |si descendent a pié 	e desque vieron la donçella desçendieron apie 	Et quant ilz uirent la damoisele |si descendirent a pie 	et quant il uirent la damoisele |qui beh̾ auoit deuant luy |si sont dessendu a pie 	Et quant ilz uirent la damoiselle |ilz descendirent a pie 	Et quant il voient la damfolisele |si descendent a pie 	E quand’e' vidono la damigella, |si discenderono immantanente a ppiè 
193	et li font grant joie com a celi 	e fueron e fezieron gran alegria conella 	et luy font moult grant ioye |comme a celle 	et li font la plus grant ioie dou monde a cele 	et lui firent si grant henneur et si grant ioye |comme a celle 	et li font si grant ioie |comme a celui 	e gli fanno grande gioia come a colei 
194	qui lor dame estoit 	como aquella que hera su señora 	qui leur dame estoit. 	qui leur lige dame estoit 	qui leur dame estoit: 	qui lor dame estoit. 	che loro dama era, 
195	mais molt se merveillent 	mas mucho se marauillaron 	mais moult se merueillent 	Mais mout se merueillent 	mais moult se merueillent 	mais moult sesmerueillent 	ma molto si maravigliarono 
196	de ce qu’il la virent plorer: 	porque la vian ansi venir	de ce quilz la uirent plourer. 	quant il la uirent si plorer. 	de ce qu ilz la uoient plourer: 	de ce quil la voient plorer. 	di ciò che lla vidono impiagnendo. 
197|198	si li enquierent |que ele a. 	e preguntaronla que auia 	si luy enquierent quelle a. 	et plus de son ami |que il ne uerent pas mandent |que ele a. 	si demandent |que elle a. 	si li demandent |que elle a. 	Si-lla inchiesono |ch’ell’avea, 
199	Et ele lor dit 	e ella les conto 	et elle leur comte 	et ele lor dit et conte 	et elle leur compte 	Et elle lor conte 	ed ella lor disse 
				coment ueuir auecques li. 			
200	comment ses amis avoit esté ocis, « 	como su amigo hera muerto 	comme son amy auoit este occis. 	Si li en quierent |et de ses amis auoit este ocis. au chastel 	comment son amy auoit este occy/ 	comment sez amis auoit este ochis. 	come suo amico era stato ucciso, 
201	et je meismes euisse esté morte. 	e dixo yo mesma fuera muerta 	Et ie mesmes fait elle feusse morte 	ou il trespasoient. |Sire meismes fait ele eusse este morte : 	et moy mesmes eusse este occie 	et iou meisme eusse este ochise. 	«ed io medesima, diss’ella, |fosse stata morta, 
202	se ne fust cis frans chevaliers 	sino fuera por aqueste buen cauallero 	se ne fust ce franc cheualier 	Ce ne fust ciz frans cheualiers ci. 	se ne feust ce franc cheualier 	se ne fust cils frans cheualiers 	se non fosse questo franco cavaliere 
203|204|205	qui par sa debonaireté me resqueust |et se mist em peril de mort |por ma vie sauver. » 	que me libro |e se metio en peligro de muerte |Por me librar 	qui par sa debonairete ma rescousse. et sest mise on peril de mort |pour sauuer ma uie. 	qui par sa debonairete et par sa franchisse marescosse des mains a mes anemis |et se mist en peril de mort por moi sauuer. |et se ne lauoie ie pas deserui. |et diex doint |que ie li puisse guerredoner. 	qui par sa debonnairete ma rescousse et sest mis en peril de mort pour moy sauuer. 	qui par Sa debonairete ma rescousse. |et se mist en peril de mort pour moi sauuer. 	che per sua dibonarità mi riscosse, |si si misse in periglio di morte per mia vita salvare». 
206	Et lors conseille a l’un de ses escuierset 	e luego destroçaron el vn corço |e pusieronlo enel Palafren 	Et lors conseille a lun 	Lors conseille maintenant la damoisele a .i. des escuiers. 	Et lors elle parle a conseil a ung des escuiers 	Et lors conseilla elle a. j. de ses escuiers 	Allor si consiglia con l’uno, 
